abs_time,cam,rtp_seq
1777819104.843699,0,1444
1777819104.915952,1,32150
1777819104.919438,2,2798
1777819105.880510,0,1830
1777819106.876390,0,2158
1777819106.903413,1,32912
1777819106.922000,2,3480
1777819107.881769,0,2510
1777819110.882705,0,3613
1777819111.876319,0,3987
1777819112.886774,0,4352
1777819112.919588,1,35123
1777819112.928341,2,5649
1777819113.888135,0,4745
1777819114.915626,1,35884
1777819114.926193,2,6397
1777819115.895098,0,5497
1777819116.909456,0,5887
1777819116.924982,1,36640
1777819116.944634,2,7130
1777819117.906418,0,6277
1777819118.904232,0,6649
1777819118.916266,1,37398
1777819118.932904,2,7883
1777819119.884797,0,7020
1777819120.896426,0,7362
1777819120.905141,1,38136
1777819120.929922,2,8632
1777819121.892319,0,7730
1777819122.877867,0,8112
1777819122.905543,1,38838
1777819122.927919,2,9373
1777819124.910716,0,8845
1777819124.923914,1,39533
1777819124.953161,2,10098
