abs_time,cam_index,rtp_seq
1779291476.802364,2,32864
1779291476.804980,2,32864
1779291476.807960,2,32864
1779291476.808086,2,16824
1779291476.827682,2,32864
1779291476.832403,2,32769
1779291476.838719,2,42269
1779291476.838839,2,21251
1779291476.840734,2,32864
1779291476.849151,2,32864
1779291476.849285,2,32864
1779291476.851498,1,32864
1779291476.851723,2,32864
1779291476.851851,2,11483
1779291476.852075,1,32864
1779291476.856359,2,22049
1779291476.859816,2,32351
1779291476.869948,0,32864
1779291476.870070,2,32864
1779291476.870192,2,50658
1779291476.872066,0,32864
1779291476.879183,0,32864
1779291476.879259,0,32864
1779291476.885467,1,32864
1779291476.885565,1,16128
1779291476.892011,1,54418
1779291476.892090,1,46373
1779291476.892143,2,32864
1779291476.892340,2,32864
1779291476.892962,2,32864
1779291476.893018,2,32864
1779291476.893075,2,17384
1779291476.894214,2,24732
1779291476.894279,2,32864
1779291476.894394,1,32864
1779291476.894604,2,4464
1779291476.894722,1,32864
1779291476.894865,1,32864
1779291476.894934,2,50556
1779291476.897636,0,32864
1779291476.905517,2,13563
1779291476.905581,2,14194
1779291476.905707,0,32063
1779291476.905898,0,49564
1779291476.910356,0,4201
1779291476.910445,0,22012
1779291476.910508,0,13553
1779291476.912355,0,33827
1779291476.921987,1,17577
1779291476.922097,1,20690
1779291476.922527,1,32864
1779291476.922590,0,32864
1779291476.922658,1,32864
1779291476.925443,1,33496
1779291476.925523,1,44679
1779291476.925928,2,35384
1779291476.925987,1,32864
1779291476.926049,2,7553
1779291476.932121,1,32864
1779291476.932207,1,58183
1779291476.932272,1,65485
1779291476.932711,1,37456
1779291476.932777,1,53602
1779291476.932831,1,46023
1779291476.936934,1,53272
1779291476.937015,0,32864
1779291476.938483,0,22639
1779291476.938594,2,32864
1779291476.938658,0,15327
1779291476.938722,2,32864
1779291476.938794,2,21373
1779291476.938859,2,404
1779291476.939647,0,27957
1779291476.939716,2,16981
1779291476.939773,0,38356
1779291476.939822,2,61824
1779291476.939880,0,51367
1779291476.939930,2,64532
1779291476.940090,2,42659
1779291476.950335,2,36975
1779291476.950396,0,33425
1779291476.950471,2,62153
1779291476.950526,0,17642
1779291476.950584,2,35137
1779291476.952735,1,60520
1779291476.953448,1,13895
1779291476.962145,1,23179
1779291476.962221,2,15882
1779291476.962281,1,61288
1779291476.962837,2,5051
1779291476.962905,0,32864
1779291476.962970,0,32864
1779291476.963028,0,32614
1779291476.963937,0,32864
1779291476.963998,0,32864
1779291476.971664,0,32864
1779291476.971724,1,32864
1779291476.971782,0,32864
1779291476.972602,1,32864
1779291476.972667,1,32864
